YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,TAXI_OUT,ELAPSED_TIME,AIR_TIME,WHEELS_ON,SCHEDULED_ARRIVAL,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,EV,5764,N832AS,SBN,ORD,0530,0527,12,44,22,0501,0525,0,0,,,,,,
2015,1,1,4,F9,1279,N918FR,PHL,MCO,0530,0526,12,146,128,0746,0810,0,0,,,,,,
2015,1,1,4,NK,409,N509NK,ORD,FLL,0530,0526,12,167,149,0907,0938,0,0,,,,,,
2015,1,1,4,OO,5460,N583SW,RDD,SFO,0530,,,,,,0700,0,1,A,,,,,
2015,1,1,4,OO,6391,N593ML,EUG,DEN,0530,0526,26,180,143,0915,0913,0,0,,,,,,
2015,1,1,4,UA,1532,N77066,SFO,DEN,0531,0550,15,153,127,0912,0857,0,0,,7,0,19,0,0
2015,1,1,4,UA,1167,N66837,ORD,DEN,0533,0540,10,163,142,0712,0720,0,0,,,,,,
2015,1,1,4,UA,1012,N17245,IAD,IAH,0535,0541,12,215,194,0807,0802,0,0,,,,,,
2015,1,1,4,B6,2001,N358JB,BUF,JFK,0535,0530,17,78,56,0643,0703,0,0,,,,,,
2015,1,1,4,B6,2807,N190JB,PWM,JFK,0535,0528,13,67,50,0631,0700,0,0,,,,,,
2015,1,1,4,B6,2023,N324JB,JFK,SJU,0535,0618,13,201,184,1035,1020,0,0,,0,0,19,0,0
2015,1,1,4,EV,4557,N12967,CRP,IAH,0535,0523,12,52,33,0608,0636,0,0,,,,,,
2015,1,1,4,EV,5241,N849AS,PIA,DTW,0535,0530,18,75,54,0742,0803,0,0,,,,,,
2015,1,1,4,EV,5498,N132EV,ORD,DTW,0535,0550,18,67,41,0749,0800,0,0,,,,,,
2015,1,1,4,OO,6512,N925SW,FAT,LAX,0535,0530,33,80,42,0645,0650,0,0,,,,,,
2015,1,1,4,UA,1577,N69813,SMF,DEN,0538,0634,26,164,129,1009,0900,0,0,,22,0,56,0,0
2015,1,1,4,OO,4986,N719SK,AUS,LAX,0538,0535,16,199,173,0644,0710,0,0,,,,,,
2015,1,1,4,B6,727,N292JB,BOS,BWI,0540,0536,14,84,66,0656,0721,0,0,,,,,,
2015,1,1,4,B6,1012,N375JB,ORD,BOS,0540,0529,16,114,95,0820,0856,0,0,,,,,,
2015,1,1,4,DL,824,N3736C,PHX,DTW,0540,0808,19,203,178,1325,1123,0,0,,0,0,0,0,128
2015,1,1,4,DL,941,N910DN,MCI,ATL,0540,0546,11,101,84,0821,0842,0,0,,,,,,
2015,1,1,4,DL,2079,N389DA,BOS,DTW,0540,0537,15,125,105,0737,0803,0,0,,,,,,
2015,1,1,4,EV,3268,N14998,ATL,IAD,0540,0556,9,103,79,0724,0725,0,0,,,,,,
2015,1,1,4,EV,4160,N11150,JAX,EWR,0540,0531,9,132,109,0729,0757,0,0,,,,,,
2015,1,1,4,OO,6285,N962SW,MFR,DEN,0540,0538,42,188,138,0938,0921,0,0,,25,0,0,0,0
2015,1,1,4,OO,5184,N776SK,SLC,IAH,0540,0537,18,180,158,0933,0953,0,0,,,,,,
2015,1,1,4,OO,6358,N926SW,IDA,DEN,0541,0539,30,113,72,0721,0725,0,0,,,,,,
2015,1,1,4,F9,161,N905FR,MSN,DEN,0544,0534,7,144,128,0649,0709,0,0,,,,,,
2015,1,1,4,OO,4833,N554CA,MKE,DTW,0545,0543,10,55,36,0729,0759,0,0,,,,,,
2015,1,1,4,UA,1119,N69810,GEG,DEN,0545,0542,21,136,107,0850,0904,0,0,,,,,,
2015,1,1,4,UA,1237,N65832,SEA,IAH,0545,0541,13,266,238,1152,1156,0,0,,,,,,
2015,1,1,4,UA,1540,N78509,DCA,IAH,0545,0550,10,197,182,0802,0814,0,0,,,,,,
2015,1,1,4,AA,1433,N4YNAA,SAT,DFW,0545,0539,12,59,41,0632,0650,0,0,,,,,,
2015,1,1,4,AA,2299,N3LLAA,JFK,MIA,0545,0640,17,199,152,0929,0850,0,0,,14,0,55,0,0
2015,1,1,4,B6,721,N623JB,BOS,PBI,0545,0551,16,190,170,0857,0910,0,0,,,,,,
2015,1,1,4,B6,917,N606JB,BOS,JFK,0545,0543,12,66,44,0639,0702,0,0,,,,,,
2015,1,1,4,B6,939,N794JB,JFK,BQN,0545,0545,17,202,180,1002,1026,0,0,,,,,,
2015,1,1,4,DL,1890,N377DA,DFW,ATL,0545,0603,13,104,86,0842,0849,0,0,,,,,,
2015,1,1,4,EV,4646,N29917,CHS,EWR,0545,0540,26,122,91,0737,0741,0,0,,,,,,
2015,1,1,4,F9,365,N218FR,MKE,DEN,0545,0621,9,142,120,0730,0726,0,0,,0,0,17,0,0
2015,1,1,4,F9,117,N933FR,MSP,DEN,0545,0538,15,128,104,0637,0654,0,0,,,,,,
2015,1,1,4,MQ,2926,N932MQ,CHS,DFW,0545,,,,,,0755,0,1,B,,,,,
2015,1,1,4,OO,2599,N435SW,DEN,LAX,0545,0658,11,133,112,0801,0715,0,0,,0,0,56,0,0
2015,1,1,4,OO,5482,N934SW,SBA,DEN,0545,0542,25,167,134,0921,0919,0,0,,,,,,
2015,1,1,4,OO,6457,N560SW,SMX,LAX,0545,,,,,,0651,0,1,A,,,,,
2015,1,1,4,HA,218,N485HA,HNL,KOA,0548,0540,10,44,27,0617,0630,0,0,,,,,,
2015,1,1,4,B6,515,N337JB,BOS,BUF,0549,0540,17,99,78,0715,0725,0,0,,,,,,
2015,1,1,4,UA,228,N439UA,PDX,EWR,0550,0547,10,282,263,1320,1404,0,0,,,,,,
2015,1,1,4,US,641,N650AW,IND,PHX,0550,0545,12,249,234,0751,0750,0,0,,,,,,
2015,1,1,4,UA,495,N548UA,LAX,DEN,0550,0550,11,136,118,0859,0915,0,0,,,,,,
2015,1,1,4,UA,507,N808UA,CLE,IAH,0550,0629,11,198,170,0830,0804,0,0,,4,0,39,0,0
2015,1,1,4,UA,1553,N37290,BOS,EWR,0550,0552,12,67,46,0650,0718,0,0,,,,,,
2015,1,1,4,US,403,N660AW,DEN,PHX,0550,0550,15,109,91,0736,0749,0,0,,,,,,
2015,1,1,4,US,446,N651AW,MCI,PHX,0550,0544,15,179,159,0738,0748,0,0,,,,,,
2015,1,1,4,AA,1178,N573AA,AUS,DFW,0550,0548,19,61,36,0643,0650,0,0,,,,,,
2015,1,1,4,AA,2410,N3BAAA,LAX,DFW,0550,0600,17,172,150,1047,1050,0,0,,,,,,
2015,1,1,4,DL,2453,N966DL,GSP,ATL,0550,0550,26,59,28,0644,0649,0,0,,,,,,
2015,1,1,4,B6,2228,N231JB,MCO,EWR,0550,0548,12,144,127,0807,0819,0,0,,,,,,
2015,1,1,4,EV,4555,N13133,MCI,IAH,0550,0548,15,138,110,0753,0805,0,0,,,,,,
2015,1,1,4,EV,5698,N835AS,BDL,IAD,0550,0543,9,76,58,0650,0718,0,0,,,,,,
2015,1,1,4,MQ,3534,N925MQ,ABI,DFW,0550,,,,,,0645,0,1,B,,,,,
2015,1,1,4,EV,4339,N14179,RIC,IAH,0550,0548,14,220,195,0817,0815,0,0,,,,,,
2015,1,1,4,OO,6204,N917SW,BFL,DEN,0550,0556,31,164,125,0932,0920,0,0,,14,0,6,0,0
2015,1,1,4,OO,6261,N107SY,SAT,SFO,0550,0557,9,223,198,0724,0759,0,0,,,,,,
2015,1,1,4,OO,5160,N794SK,OMA,IAH,0550,0605,16,146,120,0821,0810,0,0,,6,0,15,0,0
2015,1,1,4,OO,6224,N956SW,RDM,DEN,0550,0549,12,150,130,0911,0913,0,0,,,,,,
2015,1,1,4,B6,860,N656JB,FLL,BDL,0553,0551,10,177,162,0843,0839,0,0,,,,,,
2015,1,1,4,EV,5230,N181PQ,CID,ATL,0554,0554,27,114,84,0845,0905,0,0,,,,,,
2015,1,1,4,WN,526,N742SW,SFO,DEN,0555,0553,11,150,132,0916,0925,0,0,,,,,,
2015,1,1,4,UA,1222,N68452,MCO,LAX,0555,0557,10,343,310,0817,0836,0,0,,,,,,
2015,1,1,4,UA,1507,N31412,TPA,EWR,0555,0549,9,149,131,0809,0831,0,0,,,,,,
2015,1,1,4,AA,1094,N3DXAA,SEA,DFW,0555,0555,24,251,216,1155,1150,0,0,,16,0,0,0,0
2015,1,1,4,AA,1233,N3HXAA,BOS,DFW,0555,0551,15,269,243,0909,0930,0,0,,,,,,
2015,1,1,4,B6,115,N284JB,SYR,JFK,0555,0550,27,75,43,0700,0718,0,0,,,,,,
2015,1,1,4,B6,185,N334JB,ROC,JFK,0555,0550,20,73,48,0658,0720,0,0,,,,,,
2015,1,1,4,EV,2519,N905EV,TYR,DFW,0555,0546,9,50,25,0620,0645,0,0,,,,,,
2015,1,1,4,EV,3928,N11140,MCI,ORD,0555,0554,19,83,58,0711,0729,0,0,,,,,,
2015,1,1,4,EV,3941,N16561,LAN,ORD,0555,0555,27,75,39,0601,0604,0,0,,,,,,
2015,1,1,4,EV,5976,N27200,BUF,EWR,0555,0928,38,93,48,1054,0715,0,0,,13,0,0,0,213
2015,1,1,4,MQ,3161,N5PBMQ,XNA,DFW,0555,,,,,,0710,0,1,B,,,,,
2015,1,1,4,EV,5677,N12563,GSO,EWR,0556,0538,19,90,65,0702,0730,0,0,,,,,,
2015,1,1,4,NK,224,N607NK,ORD,LGA,0556,0547,16,160,92,0835,0900,0,0,,27,0,0,0,0
